City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp C
0,la'ie,21.6477,-157.9253,299.13,80,13,2.68,US,1720594111,25.980000000000018
1,egilsstadir,65.2653,-14.3948,283.1,76,0,1.03,IS,1720594112,9.950000000000045
2,yellowknife,62.456,-114.3525,291.71,79,40,3.6,CA,1720594113,18.560000000000002
3,port-aux-francais,-49.35,70.2167,278.21,93,100,16.1,TF,1720594114,5.060000000000002
4,thompson,55.7435,-97.8558,285.24,94,20,1.03,CA,1720594116,12.090000000000032
5,krasnoshchekovo,51.6708,82.7289,294.86,62,0,4.0,RU,1720594117,21.710000000000036
6,axum,14.1245,38.7244,294.04,57,66,1.12,ET,1720594119,20.890000000000043
7,galle,6.0367,80.217,304.22,77,99,0.89,LK,1720594120,31.07000000000005
8,atafu village,-8.5421,-172.5159,302.03,73,85,7.31,TK,1720594122,28.879999999999995
9,grytviken,-54.2811,-36.5092,272.35,96,100,6.55,GS,1720594123,-0.7999999999999545
10,whitehorse,60.7161,-135.0538,290.58,51,75,5.66,CA,1720594124,17.430000000000007
11,hawaiian paradise park,19.5933,-154.9731,295.88,96,100,3.6,US,1720594125,22.730000000000018
12,yakeshi,49.2833,120.7333,308.18,17,92,5.01,CN,1720594127,35.03000000000003
13,ribeira grande,38.5167,-28.7,294.37,83,40,2.57,PT,1720594128,21.220000000000027
14,mejit,10.2753,170.8646,301.15,75,10,7.2,MH,1720594129,28.0
15,axim,4.8699,-2.2405,297.68,85,100,3.85,GH,1720594130,24.53000000000003
16,bredasdorp,-34.5322,20.0403,285.79,83,96,7.25,ZA,1720594131,12.640000000000043
17,blackmans bay,-43.0167,147.3167,285.22,95,100,0.45,AU,1720594133,12.07000000000005
18,avarua,-21.2078,-159.775,294.18,64,20,3.6,CK,1720594134,21.03000000000003
19,woolgoolga,-30.1106,153.2007,291.08,77,1,4.28,AU,1720594135,17.930000000000007
20,minas de marcona,-15.2119,-75.1103,282.74,90,89,6.25,PE,1720594136,9.590000000000032
21,st. john's,47.5649,-52.7093,292.19,94,100,0.89,CA,1720594137,19.04000000000002
22,markt schwaben,48.1895,11.8691,296.92,78,0,3.6,DE,1720594139,23.77000000000004
23,sweetwater,25.7634,-80.3731,302.15,79,75,1.54,US,1720594141,29.0
24,san patricio,28.017,-97.5169,302.51,87,19,2.59,US,1720594143,29.360000000000014
25,san antonio de pale,-1.4014,5.6325,295.27,82,19,5.46,GQ,1720594144,22.120000000000005
26,wailua homesteads,22.0669,-159.378,297.59,79,20,8.75,US,1720594146,24.439999999999998
27,iqaluit,63.7506,-68.5145,279.0,86,75,1.03,CA,1720594147,5.850000000000023
28,edinburgh of the seven seas,-37.0676,-12.3116,282.45,69,94,14.54,SH,1720594148,9.300000000000011
29,invercargill,-46.4,168.35,280.94,87,44,0.45,NZ,1720594149,7.7900000000000205
30,port alfred,-33.5906,26.891,290.2,59,30,7.11,ZA,1720594150,17.05000000000001
31,georgetown,5.4112,100.3354,303.12,66,20,5.66,MY,1720594152,29.970000000000027
32,hamilton,39.1834,-84.5333,296.16,94,100,4.12,US,1720594153,23.010000000000048
33,al jawf,29.5,38.75,307.99,15,0,2.86,SA,1720594154,34.84000000000003
34,bethel,41.3712,-73.414,298.23,93,0,0.45,US,1720594155,25.08000000000004
35,alo,6.5486,4.2686,297.68,91,100,1.88,NG,1720594156,24.53000000000003
36,talnakh,69.4865,88.3972,297.54,39,2,2.83,RU,1720594158,24.390000000000043
37,remire-montjoly,4.9167,-52.2667,297.17,100,0,1.03,GF,1720594159,24.02000000000004
38,fisterra,42.9049,-9.2629,292.05,99,100,6.22,ES,1720594160,18.900000000000034
39,bilibino,68.0546,166.4372,289.15,38,3,6.54,RU,1720594161,16.0
40,pacific grove,36.6177,-121.9166,290.27,91,100,2.06,US,1720594162,17.120000000000005
41,mossel bay,-34.1831,22.146,284.11,69,83,2.02,ZA,1720594163,10.960000000000036
42,lorengau,-2.0226,147.2712,301.11,80,100,4.57,PG,1720594165,27.960000000000036
43,stanley,54.868,-1.6985,286.36,95,75,2.06,GB,1720594166,13.210000000000036
44,adamstown,-25.066,-130.1015,292.76,64,100,5.42,PN,1720594167,19.610000000000014
45,puerto natales,-51.7236,-72.4875,276.12,94,100,2.86,CL,1720594168,2.9700000000000273
46,young,-32.6833,-57.6333,272.58,93,8,2.76,UY,1720593913,-0.5699999999999932
47,klyuchi,52.2667,79.1667,298.85,36,30,3.04,RU,1720594170,25.700000000000045
48,dudinka,69.4058,86.1778,296.58,47,30,4.78,RU,1720594173,23.430000000000007
49,sinan,34.8262,126.1086,300.21,95,21,5.22,KR,1720594174,27.060000000000002
50,luganville,-15.5333,167.1667,298.2,79,93,5.5,VU,1720594175,25.05000000000001
51,reserve,30.0538,-90.5518,300.92,93,9,0.45,US,1720594176,27.77000000000004
52,howrah,22.5892,88.3103,307.15,62,40,5.14,IN,1720594177,34.0
53,ojinaga,29.5667,-104.4167,299.68,53,0,4.63,MX,1720594178,26.53000000000003
54,waitangi,-43.9535,-176.5597,279.72,91,100,4.47,NZ,1720594180,6.57000000000005
55,new norfolk,-42.7826,147.0587,285.88,99,100,1.06,AU,1720594181,12.730000000000018
56,ola,59.5833,151.2833,292.04,57,4,4.13,RU,1720594182,18.890000000000043
57,puerto santa,-8.9906,-78.6456,290.48,86,98,3.3,PE,1720594183,17.33000000000004
58,akjoujt,19.6969,-14.4164,302.3,19,22,8.75,MR,1720594184,29.150000000000034
59,lebu,-37.6167,-73.65,278.18,79,0,5.53,CL,1720594186,5.03000000000003
60,margaret river,-33.95,115.0667,287.35,59,90,7.63,AU,1720594187,14.200000000000045
61,wysokie mazowieckie,52.9166,22.5171,297.62,61,8,5.69,PL,1720594188,24.470000000000027
62,jackson,42.4165,-122.8345,302.08,41,0,2.06,US,1720594048,28.930000000000007
63,west island,-12.1568,96.8225,302.14,89,100,5.66,CC,1720594190,28.99000000000001
64,nar'yan-mar,67.6713,53.087,285.64,97,100,6.48,RU,1720594192,12.490000000000009
65,tazacorte,28.629,-17.9293,294.69,93,20,6.17,ES,1720594193,21.54000000000002
66,sitka,57.0531,-135.33,286.09,94,100,2.57,US,1720594194,12.939999999999998
67,oriximina,-1.7656,-55.8661,297.62,79,13,1.08,BR,1720594196,24.470000000000027
68,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,100,100,2.0,RU,1720594198,13.330000000000041
69,ushuaia,-54.8,-68.3,276.96,60,40,16.46,AR,1720594199,3.8100000000000023
70,castillos,-34.1667,-53.8333,281.18,83,100,3.8,UY,1720594200,8.03000000000003
71,kodiak,57.79,-152.4072,282.88,93,100,3.09,US,1720594201,9.730000000000018
72,jamestown,42.097,-79.2353,295.95,94,100,3.6,US,1720594202,22.80000000000001
73,callao,-12.0667,-77.15,289.49,88,100,2.57,PE,1720594204,16.340000000000032
74,prey veng,11.4868,105.3253,308.98,42,100,4.55,KH,1720594205,35.83000000000004
75,college,64.8569,-147.8028,288.33,86,100,2.57,US,1720594135,15.180000000000007
76,zabol,32.25,67.25,305.96,16,0,8.31,AF,1720594207,32.81
77,sao paulo de olivenca,-3.3783,-68.8725,295.34,97,39,0.67,BR,1720594209,22.189999999999998
78,devin,41.7433,24.4,300.33,38,0,3.32,BG,1720594210,27.180000000000007
79,bel ombre,-4.6167,55.4167,301.06,78,75,4.63,SC,1720594212,27.910000000000025
80,carnarvon,-24.8667,113.6333,295.32,69,0,5.1,AU,1720594213,22.170000000000016
81,pascagoula,30.3658,-88.5561,300.22,95,100,4.03,US,1720594214,27.07000000000005
82,usogorsk,63.4106,48.6872,292.73,73,56,4.52,RU,1720594216,19.58000000000004
83,kincardine,56.0667,-3.7167,287.14,94,100,1.37,GB,1720594217,13.990000000000009
84,huarmey,-10.0681,-78.1522,290.28,87,69,2.66,PE,1720594218,17.129999999999995
85,zhoukou,33.6333,114.6333,301.82,54,99,0.89,CN,1720594219,28.670000000000016
86,ust-nera,64.5667,143.2,297.68,28,87,1.78,RU,1720594220,24.53000000000003
87,santiago de cao,-7.9589,-79.2392,289.22,94,75,2.06,PE,1720594222,16.07000000000005
88,gay,51.4666,58.4552,300.44,39,100,6.22,RU,1720594149,27.29000000000002
89,joaquin v. gonzalez,-25.0833,-64.1833,276.19,79,29,0.27,AR,1720594224,3.0400000000000205
90,tenosique,17.4833,-91.4333,296.99,97,100,2.01,MX,1720594225,23.840000000000032
91,olonkinbyen,70.9221,-8.7187,276.78,92,99,7.09,SJ,1720594226,3.6299999999999955
92,sechura,-5.5569,-80.8222,291.29,80,4,4.8,PE,1720594227,18.140000000000043
93,timbuktu,16.7735,-3.0074,305.17,45,100,6.27,ML,1720594229,32.02000000000004
94,prince george,53.9166,-122.753,294.84,60,0,1.54,CA,1720594230,21.689999999999998
95,longyearbyen,78.2186,15.6401,278.06,81,75,8.75,SJ,1720594079,4.910000000000025
96,tazovsky,67.4667,78.7,292.09,47,8,5.2,RU,1720594232,18.939999999999998
97,tolanaro,-25.0319,46.9987,293.19,83,0,1.54,MG,1720594233,20.04000000000002
98,n'zeto,-7.2312,12.8666,295.03,85,100,2.73,AO,1720594234,21.879999999999995
99,fort bragg,35.139,-79.006,300.06,88,0,2.06,US,1720594236,26.910000000000025
100,tiksi,71.6872,128.8694,290.07,46,52,1.55,RU,1720594237,16.920000000000016
101,namibe,-15.1961,12.1522,292.11,74,0,3.46,AO,1720594238,18.960000000000036
102,codrington,-38.2667,141.9667,285.37,55,100,4.87,AU,1720594239,12.220000000000027
103,niafunke,15.9322,-3.9906,304.0,53,97,5.7,ML,1720594241,30.850000000000023
104,kununurra,-15.7667,128.7333,305.14,33,20,4.63,AU,1720594242,31.99000000000001
105,iskateley,67.6803,53.1512,285.63,97,100,6.28,RU,1720594243,12.480000000000018
106,saipan,15.1355,145.701,305.54,70,40,6.17,MP,1720594244,32.39000000000004
107,coquimbo,-29.9533,-71.3436,282.0,73,100,1.54,CL,1720594245,8.850000000000023
108,isafjordur,66.0755,-23.124,282.23,70,100,6.75,IS,1720594246,9.080000000000041
109,utrik,11.2278,169.8474,300.98,73,5,7.45,MH,1720594249,27.83000000000004
110,fale old settlement,-9.3852,-171.2468,301.64,69,91,8.2,TK,1720594250,28.49000000000001
111,ilulissat,69.2167,-51.1,278.16,87,100,2.06,GL,1720594251,5.010000000000048
112,lebork,54.5392,17.7501,298.95,60,91,6.21,PL,1720594252,25.80000000000001
113,puerto aysen,-45.4,-72.7,274.09,98,100,1.62,CL,1720594254,0.9399999999999977
114,imbituba,-28.24,-48.6703,286.96,92,100,4.04,BR,1720594255,13.810000000000002
115,palmer,42.1584,-72.3287,297.51,80,100,1.54,US,1720594256,24.360000000000014
116,kapa'a,22.0752,-159.319,298.33,77,20,8.75,US,1720594257,25.180000000000007
117,bhag,29.0415,67.8239,318.39,21,59,4.36,PK,1720594258,45.24000000000001
118,olyokminsk,60.3736,120.4264,303.67,25,69,4.08,RU,1720594259,30.52000000000004
119,albany,42.6001,-73.9662,297.36,89,44,0.69,US,1720594206,24.210000000000036
120,kerikeri,-35.2268,173.9474,281.99,86,31,0.45,NZ,1720594262,8.840000000000032
121,touros,-5.1989,-35.4608,296.68,89,89,4.08,BR,1720594263,23.53000000000003
122,constantia,44.1833,28.65,306.53,56,100,6.82,RO,1720594075,33.379999999999995
123,selibaby,15.159,-12.1829,302.38,68,100,4.94,MR,1720594265,29.230000000000018
124,port mathurin,-19.6833,63.4167,295.68,66,1,7.47,MU,1720594267,22.53000000000003
125,brookings,44.3114,-96.7984,293.25,90,100,3.58,US,1720594268,20.100000000000023
126,bamboo flat,11.7,92.7167,302.81,73,28,6.06,IN,1720594269,29.660000000000025
127,port elizabeth,-33.918,25.5701,286.66,80,0,6.17,ZA,1720594270,13.510000000000048
128,leninskoye,41.7589,69.3864,307.41,17,0,4.17,KZ,1720594271,34.26000000000005
129,praia da vitoria,38.7333,-27.0667,295.29,83,20,7.13,PT,1720594272,22.140000000000043
130,zetea,46.3833,25.3667,298.87,39,0,2.59,RO,1720594274,25.720000000000027
131,wuchang,44.9143,127.15,299.78,58,1,3.91,CN,1720594275,26.629999999999995
132,redencao,-4.2258,-38.7306,295.12,96,100,1.29,BR,1720594276,21.970000000000027
133,anadyr,64.75,177.4833,286.43,54,40,13.0,RU,1720594122,13.28000000000003
134,tingo maria,-9.2895,-76.0088,292.55,98,58,0.91,PE,1720594278,19.400000000000034
135,lucapa,-8.4192,20.7447,294.08,18,65,3.51,AO,1720594279,20.930000000000007
136,satita,34.8184,36.1138,304.16,48,0,4.09,SY,1720594282,31.010000000000048
137,isla vista,34.4133,-119.861,290.09,88,0,2.06,US,1720594283,16.939999999999998
138,gole,52.4,19.0967,297.06,68,80,6.23,PL,1720594284,23.910000000000025
139,port blair,11.6667,92.75,303.06,74,28,6.13,IN,1720594285,29.910000000000025
140,papatowai,-46.5619,169.4708,280.33,87,48,2.97,NZ,1720594288,7.180000000000007
141,sisimiut,66.9395,-53.6735,278.41,79,96,0.37,GL,1720594290,5.260000000000048
142,donji vakuf,44.1436,17.4,300.26,50,0,1.0,BA,1720594292,27.110000000000014
143,leiston,52.2061,1.5776,290.33,89,34,6.97,GB,1720594293,17.180000000000007
144,flying fish cove,-10.4217,105.6791,300.97,83,100,5.66,CX,1720594294,27.82000000000005
145,nova borova,50.693,28.6345,297.82,77,3,3.4,UA,1720594295,24.670000000000016
146,mugumu,-1.85,34.7,294.07,67,100,2.54,TZ,1720594296,20.920000000000016
147,hermanus,-34.4187,19.2345,286.37,86,100,11.03,ZA,1720594298,13.220000000000027
148,broken hill,-31.95,141.4333,287.57,53,0,4.99,AU,1720594299,14.420000000000016
149,kidal,18.4411,1.4078,303.68,43,2,3.31,ML,1720594300,30.53000000000003
150,nikolayevsk-on-amure,53.1406,140.73,284.73,95,100,1.38,RU,1720594301,11.580000000000041
151,salobrena,36.7428,-3.5872,298.57,58,0,1.55,ES,1720594302,25.420000000000016
152,hadibu,12.65,54.0333,300.72,77,100,13.87,YE,1720594303,27.57000000000005
153,lihue,21.9789,-159.3672,297.92,78,20,8.75,US,1720594279,24.77000000000004
154,mount gambier,-37.8333,140.7667,285.63,62,100,3.64,AU,1720594307,12.480000000000018
155,popondetta,-8.7537,148.2534,301.48,63,26,1.94,PG,1720594308,28.33000000000004
156,antalaha,-14.9003,50.2788,298.97,52,3,5.22,MG,1720594309,25.82000000000005
157,ta`u,-14.2336,-169.5144,298.94,78,96,13.84,AS,1720594311,25.79000000000002
158,pinillos,8.9193,-74.4677,297.47,98,100,0.67,CO,1720594313,24.32000000000005
159,bandipura,34.4167,74.65,304.29,32,52,3.46,IN,1720594314,31.140000000000043
160,lompoc,34.6391,-120.4579,287.23,95,100,4.12,US,1720594315,14.080000000000041
161,al bawiti,28.3492,28.8659,306.73,29,0,2.26,EG,1720594317,33.58000000000004
162,mount pearl,47.5166,-52.7813,291.73,95,100,2.24,CA,1720594318,18.58000000000004
163,cidreira,-30.1811,-50.2056,282.46,95,100,4.66,BR,1720594319,9.310000000000002
164,labasa,-16.4167,179.3833,296.4,87,100,5.52,FJ,1720594320,23.25
165,aral,40.5156,81.2636,306.95,18,0,2.38,CN,1720594321,33.80000000000001
166,magole,-6.3667,37.3667,297.52,55,100,1.44,TZ,1720594323,24.370000000000005
167,qaqortoq,60.7167,-46.0333,277.98,98,100,1.94,GL,1720594324,4.830000000000041
168,okha,53.5739,142.9478,282.83,98,100,4.16,RU,1720594325,9.680000000000007
169,nevel',56.0209,29.9284,296.48,48,13,0.91,RU,1720594327,23.33000000000004
170,tsiombe,-25.3,45.4833,296.56,65,6,2.97,MG,1720594328,23.410000000000025
171,anaconda,46.1285,-112.9423,294.7,45,0,1.66,US,1720594330,21.55000000000001
172,santa cruz,-17.8,-63.1667,282.85,93,100,5.66,BO,1720594331,9.700000000000045
173,nova xavantina,-14.6667,-52.35,292.08,63,1,2.25,BR,1720594332,18.930000000000007
174,natal,-5.795,-35.2094,298.27,83,40,4.12,BR,1720594333,25.120000000000005
175,jinka,5.65,36.65,295.77,59,100,2.31,ET,1720594334,22.620000000000005
176,nanjing,32.0617,118.7778,301.1,94,100,1.73,CN,1720594244,27.950000000000045
177,puerto ayora,-0.7393,-90.3518,293.46,100,61,2.94,EC,1720594337,20.310000000000002
178,ishigaki,24.3448,124.1572,307.22,70,40,6.69,JP,1720594338,34.07000000000005
179,phan rang-thap cham,11.5667,108.9833,303.89,64,100,2.11,VN,1720594339,30.74000000000001
180,jinxiang,27.4327,120.6062,304.2,69,35,7.31,CN,1720594340,31.05000000000001
181,afaahiti,-17.75,-149.2833,297.08,79,26,2.52,PF,1720594341,23.930000000000007
182,kavaratti,10.5669,72.642,300.22,83,100,7.18,IN,1720594343,27.07000000000005
183,labrador city,52.9463,-66.9114,281.1,93,20,0.0,CA,1720594344,7.9500000000000455
184,pathein,16.7833,94.7333,305.23,61,100,5.03,MM,1720594120,32.08000000000004
185,victoria,22.2855,114.1577,307.25,67,4,5.36,HK,1720594196,34.10000000000002
186,villa gesell,-37.2639,-56.973,273.18,68,16,3.63,AR,1720594347,0.03000000000002956
187,uturoa,-16.7333,-151.4333,298.94,77,6,3.23,PF,1720594348,25.79000000000002
188,punta arenas,-53.15,-70.9167,278.21,60,0,5.66,CL,1720594351,5.060000000000002
189,alpine,32.835,-116.7664,291.95,83,0,2.06,US,1720594352,18.80000000000001
190,alpena,45.0617,-83.4327,292.65,97,0,1.54,US,1720594353,19.5
191,saudarkrokur,65.7461,-19.6394,285.95,71,76,5.59,IS,1720594354,12.800000000000011
192,kikwit,-5.041,18.8162,299.76,20,0,0.4,CD,1720594355,26.610000000000014
193,alushta,44.6667,34.4167,300.21,64,78,6.37,UA,1720594357,27.060000000000002
194,zarinsk,53.7074,84.9493,293.83,67,96,3.37,RU,1720594358,20.680000000000007
195,arvayheer,46.2639,102.775,299.14,31,100,7.08,MN,1720594359,25.99000000000001
196,catemaco,18.4167,-95.1167,295.8,97,100,0.92,MX,1720594360,22.650000000000034
197,west wodonga,-36.1257,146.8486,284.85,100,97,0.87,AU,1720594361,11.700000000000045
198,waeng,16.3001,103.9779,305.08,54,100,3.99,TH,1720594363,31.930000000000007
199,n'dalatando,-9.2978,14.9116,293.13,28,94,1.78,AO,1720594364,19.980000000000018
200,suva,-18.1416,178.4415,296.86,83,75,4.63,FJ,1720594365,23.710000000000036
201,inverell,-29.7833,151.1167,286.54,65,1,1.34,AU,1720594366,13.390000000000043
202,puerto baquerizo moreno,-0.9,-89.6,294.25,86,99,4.57,EC,1720594367,21.100000000000023
203,khandud,36.9513,72.318,292.43,31,0,2.61,AF,1720594369,19.28000000000003
204,hunchun,42.8675,130.3581,305.69,32,6,3.07,CN,1720594370,32.54000000000002
205,port macquarie,-31.4333,152.9167,289.86,74,3,0.89,AU,1720594371,16.710000000000036
206,malango,-2.9627,119.9001,299.44,55,0,2.11,ID,1720594372,26.29000000000002
207,argostolion,38.1811,20.489,308.19,31,0,2.57,GR,1720594373,35.04000000000002
208,margate,51.3813,1.3862,290.2,85,60,7.02,GB,1720594375,17.05000000000001
209,badger,64.8,-147.5333,288.29,87,75,2.57,US,1720594376,15.140000000000043
210,kruisfontein,-34.0033,24.7314,283.64,78,100,3.08,ZA,1720594377,10.490000000000009
211,wynyard,-41.0,145.7167,287.7,76,64,3.51,AU,1720594311,14.550000000000011
212,urk,52.6625,5.6014,292.03,94,44,6.69,NL,1720594379,18.879999999999995
213,carlsbad,33.1581,-117.3506,295.18,91,100,1.54,US,1720593906,22.03000000000003
214,kaisiadorys,54.8667,24.45,299.09,54,12,4.25,LT,1720594382,25.939999999999998
215,lata,40.1629,-8.3327,293.66,90,100,1.33,PT,1720594383,20.510000000000048
216,xinmin,41.9908,122.8253,304.19,41,6,2.8,CN,1720594384,31.04000000000002
217,utete,-7.986,38.758,300.93,44,7,2.4,TZ,1720594385,27.78000000000003
218,susuman,62.7833,148.1667,295.09,34,0,4.68,RU,1720594386,21.939999999999998
219,beyla,8.6833,-8.6333,293.64,98,100,1.34,GN,1720594388,20.49000000000001
220,maumere,-8.6199,122.2111,301.5,59,100,3.51,ID,1720594390,28.350000000000023
221,vianopolis,-16.7419,-48.5164,290.4,51,0,0.84,BR,1720594391,17.25
222,chos malal,-37.3781,-70.2709,271.5,88,33,1.5,AR,1720594394,-1.6499999999999773
223,fort morgan,40.2503,-103.8,291.83,48,0,3.09,US,1720594395,18.680000000000007
224,cole harbour,44.6724,-63.4751,292.81,94,100,2.57,CA,1720594396,19.660000000000025
225,lingyuan,41.24,119.4011,305.32,24,14,4.09,CN,1720594397,32.170000000000016
226,miri,4.4148,114.0089,304.23,70,40,3.09,MY,1720594398,31.08000000000004
227,antonio enes,-16.2325,39.9086,298.45,54,13,3.59,MZ,1720594400,25.30000000000001
228,saundatti,15.7833,75.1167,301.68,59,93,8.22,IN,1720594401,28.53000000000003
229,el calafate,-50.3408,-72.2768,273.73,78,23,3.11,AR,1720594402,0.5800000000000409
230,biograd na moru,43.9433,15.4519,305.24,55,22,1.78,HR,1720594403,32.09000000000003
231,edson,53.5835,-116.4356,295.23,64,0,1.03,CA,1720594404,22.08000000000004
232,beloyarskiy,63.7119,66.6722,303.13,28,47,0.27,RU,1720594406,29.980000000000018
233,kayangel,8.0823,134.7173,300.16,84,100,4.71,PW,1720594407,27.010000000000048
234,hawkinsville,32.2838,-83.4721,299.31,90,100,3.39,US,1720594408,26.160000000000025
235,itoman,26.1247,127.6694,305.58,73,40,6.69,JP,1720594409,32.43000000000001
236,taroa,8.7058,171.2275,301.43,73,30,7.31,MH,1720594410,28.28000000000003
237,tapes,-30.6733,-51.3958,281.52,96,100,2.92,BR,1720594411,8.370000000000005
238,horni pocernice,50.1121,14.6104,299.95,75,0,1.54,CZ,1720594413,26.80000000000001
239,leava,-14.3,-178.1667,299.6,83,100,13.24,WF,1720594414,26.450000000000045
240,ouadda,8.0777,22.4007,295.97,89,94,2.28,CF,1720594415,22.82000000000005
241,machico,32.7,-16.7667,295.77,85,20,2.06,PT,1720594417,22.620000000000005
242,brisas barra de suchiate,14.55,-92.2167,298.3,85,100,2.57,MX,1720594418,25.150000000000034
243,alice springs,-23.7,133.8833,295.9,33,0,2.57,AU,1720594419,22.75
244,jinchang,38.4953,102.1739,304.59,19,100,2.56,CN,1720594420,31.439999999999998
245,igarka,67.4667,86.5833,296.63,40,37,4.14,RU,1720594421,23.480000000000018
246,las tablas,7.7667,-80.2833,298.68,89,98,2.45,PA,1720594423,25.53000000000003
247,sao tome,0.3365,6.7273,296.66,81,70,3.11,ST,1720594377,23.510000000000048
248,geraldton,-28.7667,114.6,293.38,64,100,7.72,AU,1720594286,20.230000000000018
249,cruzeiro do sul,-29.5128,-51.9853,281.22,96,100,1.17,BR,1720594426,8.07000000000005
250,val-d'or,48.1002,-77.7828,290.2,100,0,3.09,CA,1720594427,17.05000000000001
251,kudahuvadhoo,2.6708,72.8944,302.06,71,35,2.86,MV,1720594429,28.910000000000025
252,lalganj,25.8667,85.1833,308.12,52,94,4.54,IN,1720594431,34.97000000000003
253,minab,27.1467,57.0801,309.18,43,82,3.24,IR,1720594432,36.03000000000003
254,port douglas,-16.4833,145.4667,296.11,74,94,4.4,AU,1720594150,22.960000000000036
255,kuta,-8.7233,115.1723,302.12,74,20,8.23,ID,1720594434,28.970000000000027
256,betio village,1.358,172.9211,303.17,77,88,5.38,KI,1720594437,30.02000000000004
257,oyon,-10.6681,-76.7731,277.65,71,54,0.46,PE,1720594438,4.5
258,kapuskasing,49.4169,-82.4331,290.2,94,75,3.6,CA,1720594439,17.05000000000001
259,acarau,-2.8856,-40.12,297.03,88,48,5.05,BR,1720594440,23.879999999999995
260,boyalik,41.2634,28.6314,302.66,62,5,7.04,TR,1720594441,29.510000000000048
261,udachny,66.4167,112.4,293.5,65,100,4.22,RU,1720594443,20.350000000000023
262,slave lake,55.2834,-114.769,298.14,57,0,2.57,CA,1720594145,24.99000000000001
263,bernardo de irigoyen,-26.2552,-53.6458,279.18,95,99,0.48,AR,1720594445,6.03000000000003
264,tamanrasset,22.785,5.5228,301.1,12,0,12.35,DZ,1720594446,27.950000000000045
265,ed damer,17.5928,33.9592,309.86,31,87,8.88,SD,1720594447,36.710000000000036
266,kismayo,-0.3582,42.5454,300.1,73,78,7.46,SO,1720594448,26.950000000000045
267,tura,25.5198,90.2201,299.32,97,100,1.79,IN,1720594450,26.170000000000016
268,banda aceh,5.5577,95.3222,302.94,64,100,5.4,ID,1720594452,29.79000000000002
269,tataouine,32.9297,10.4518,307.07,21,0,1.76,TN,1720594454,33.920000000000016
270,kabanga,-2.6386,30.4678,296.23,31,93,4.34,TZ,1720594456,23.08000000000004
271,novoishimskiy,53.1981,66.7694,298.92,40,15,1.6,KZ,1720594457,25.77000000000004
